matrix,algo,cost,real_ns,cpu_ns
20_random_adj_mat_7.txt,nn,4.488141714808526,21433,21250
20_random_adj_mat_7.txt,nn2,4.479368412110841,31731,31250
20_random_adj_mat_7.txt,rrnn,3.3754140686680203,62550700,62500000
20_random_adj_mat_8.txt,nn,5.419122941271862,20940,20312
20_random_adj_mat_8.txt,nn2,5.390800055275838,31838,31250
20_random_adj_mat_8.txt,rrnn,4.931460056271033,61509100,62500000
20_random_adj_mat_9.txt,nn,3.8289489942794606,20649,20937
20_random_adj_mat_9.txt,nn2,3.7830516440661377,38093,37187
20_random_adj_mat_9.txt,rrnn,3.7105195494058627,54133300,46875000
25_random_adj_mat_0.txt,nn,3.888328505908574,31323,31250
25_random_adj_mat_0.txt,nn2,3.8404919968785505,54979,54062
25_random_adj_mat_0.txt,rrnn,3.7107565742825046,96525400,93750000
25_random_adj_mat_1.txt,nn,4.682557674214626,32220,32187
25_random_adj_mat_1.txt,nn2,4.61423720044233,53506,53125
25_random_adj_mat_1.txt,rrnn,4.4802074889045125,95881900,93750000
25_random_adj_mat_2.txt,nn,4.907781285944539,999100,31562
25_random_adj_mat_2.txt,nn2,4.907781285944539,39364,38750
25_random_adj_mat_2.txt,rrnn,4.23029312061541,80660400,93750000
25_random_adj_mat_3.txt,nn,5.1643984501286955,31056,31562
25_random_adj_mat_3.txt,nn2,5.025550073857232,57162,56562
25_random_adj_mat_3.txt,rrnn,4.405402731053931,94996000,93750000
25_random_adj_mat_4.txt,nn,5.610782414457042,31764,30937
25_random_adj_mat_4.txt,nn2,5.388949797804773,56653,55937
25_random_adj_mat_4.txt,rrnn,4.799740090102847,95970700,78125000
25_random_adj_mat_5.txt,nn,5.794306923030747,31088,30625
25_random_adj_mat_5.txt,nn2,5.754902723037461,45644,45312
25_random_adj_mat_5.txt,rrnn,4.353679666713324,77420200,93750000
25_random_adj_mat_6.txt,nn,4.6403581936712825,30709,30937
25_random_adj_mat_6.txt,nn2,4.4918882693071245,50400,49375
25_random_adj_mat_6.txt,rrnn,4.041810099734405,79723900,93750000
25_random_adj_mat_7.txt,nn,6.204088208344906,31980,32187
25_random_adj_mat_7.txt,nn2,6.1719799187190025,43155,42812
25_random_adj_mat_7.txt,rrnn,4.861737015967159,95102700,93750000
25_random_adj_mat_8.txt,nn,4.427992256443447,31267,30937
25_random_adj_mat_8.txt,nn2,4.425231252225151,46533,46250
25_random_adj_mat_8.txt,rrnn,4.48430025792995,99581500,93750000
25_random_adj_mat_9.txt,nn,5.191860903427984,30884,31250
25_random_adj_mat_9.txt,nn2,5.014183966527245,57004,56562
25_random_adj_mat_9.txt,rrnn,3.876908869908105,82406800,93750000
30_random_adj_mat_0.txt,nn,5.207714818464909,41887,41875
30_random_adj_mat_0.txt,nn2,5.207714818464909,52352,51875
30_random_adj_mat_0.txt,rrnn,5.035946835452618,120983500,109375000
30_random_adj_mat_1.txt,nn,6.064367823646382,44129,42812
30_random_adj_mat_1.txt,nn2,5.747406234529158,92903,92500
30_random_adj_mat_1.txt,rrnn,4.91602654103652,109015600,125000000
30_random_adj_mat_2.txt,nn,6.622631639508675,42607,41562
30_random_adj_mat_2.txt,nn2,6.622631639508675,52129,51562
30_random_adj_mat_2.txt,rrnn,5.096164418570789,121444000,125000000
30_random_adj_mat_3.txt,nn,6.036559582744721,44796,44062
30_random_adj_mat_3.txt,nn2,6.025882853545912,63701,62187
30_random_adj_mat_3.txt,rrnn,5.572380936012793,139326400,125000000
30_random_adj_mat_4.txt,nn,5.2306065813065965,42250,42500
30_random_adj_mat_4.txt,nn2,5.083601357935628,71890,70937
