matrix,algo,cost,real_ns,cpu_ns
20_random_adj_mat_6.txt,sa,4.468171786491109,3479490700,3421875000
20_random_adj_mat_6.txt,ga,4.149791169323226,780703500,765625000
20_random_adj_mat_7.txt,hc,3.333998744542598,706987700,718750000
20_random_adj_mat_7.txt,sa,4.093901558447165,3462244200,3453125000
20_random_adj_mat_7.txt,ga,3.843141532831792,771533800,781250000
20_random_adj_mat_8.txt,hc,4.772559310480109,705453500,656250000
20_random_adj_mat_8.txt,sa,4.983926727932053,3437833200,3421875000
20_random_adj_mat_8.txt,ga,5.0222161367681615,771584300,781250000
20_random_adj_mat_9.txt,hc,3.6891468285466305,687083400,671875000
20_random_adj_mat_9.txt,sa,3.880526579679778,3440832900,3390625000
20_random_adj_mat_9.txt,ga,4.2166913021259305,766215200,765625000
25_random_adj_mat_0.txt,hc,3.634276259916759,1451101300,1437500000
25_random_adj_mat_0.txt,sa,4.799247984148174,5686088100,5593750000
25_random_adj_mat_0.txt,ga,3.9756329307811806,924531500,937500000
25_random_adj_mat_1.txt,hc,4.62955952876418,1475854600,1437500000
25_random_adj_mat_1.txt,sa,5.086987137142955,5716653700,5656250000
25_random_adj_mat_1.txt,ga,5.087379185921313,930856000,937500000
25_random_adj_mat_2.txt,hc,4.008498586654586,1452724700,1437500000
25_random_adj_mat_2.txt,sa,4.073610421492238,5770867500,5750000000
25_random_adj_mat_2.txt,ga,4.267883612104857,911817000,921875000
25_random_adj_mat_3.txt,hc,4.256591715664988,1439801600,1453125000
25_random_adj_mat_3.txt,sa,4.261026676420916,5680728000,5656250000
25_random_adj_mat_3.txt,ga,4.256842733701695,923678300,906250000
25_random_adj_mat_4.txt,hc,4.710944095384137,1447310700,1453125000
25_random_adj_mat_4.txt,sa,5.445725551548185,5671677700,5625000000
25_random_adj_mat_4.txt,ga,4.6529978132325756,925033700,921875000
25_random_adj_mat_5.txt,hc,4.428552259521981,1457229200,1453125000
25_random_adj_mat_5.txt,sa,5.6524664571999566,5687639300,5640625000
25_random_adj_mat_5.txt,ga,5.333568877091698,923015400,921875000
25_random_adj_mat_6.txt,hc,4.127475462695722,1445205900,1453125000
25_random_adj_mat_6.txt,sa,4.2004255312867,5668900700,5625000000
25_random_adj_mat_6.txt,ga,4.436086685900928,922289100,906250000
25_random_adj_mat_7.txt,hc,5.0061014799596215,1383295200,1390625000
25_random_adj_mat_7.txt,sa,5.5411228291411385,5708194200,5687500000
25_random_adj_mat_7.txt,ga,5.424140707186525,921027100,921875000
25_random_adj_mat_8.txt,hc,4.368953030070764,1460840900,1437500000
25_random_adj_mat_8.txt,sa,4.9428843597149985,5787809600,5734375000
25_random_adj_mat_8.txt,ga,5.012559633943429,922434300,921875000
25_random_adj_mat_9.txt,hc,3.8641300631254434,1455853300,1437500000
25_random_adj_mat_9.txt,sa,4.487438292683247,5677453300,5640625000
25_random_adj_mat_9.txt,ga,4.934252936191996,924311900,921875000
