iter,best_cost
0,6.710755504883866
1,6.603168276259926
2,5.571756224848101
3,5.571756224848101
4,5.337889166420527
5,4.927213864712265
6,4.927213864712265
7,4.864943236891214
8,4.842404919476546
9,4.639787376176245
10,4.386818034911499
11,4.386818034911499
12,4.308702011869989
13,4.1954450335709055
14,4.1954450335709055
15,4.1954450335709055
16,4.119774561846674
17,4.119774561846674
18,4.119774561846674
19,4.119774561846674
20,4.119774561846674
21,4.095225350173123
22,4.095225350173123
23,4.095225350173123
24,4.095225350173123
25,4.095225350173123
26,4.095225350173123
27,4.095225350173123
28,4.095225350173123
29,4.095225350173123
30,4.095225350173123
31,4.095225350173123
32,4.083292910215296
33,4.083292910215296
34,4.083292910215296
35,4.083292910215296
36,4.083292910215296
37,4.083292910215296
38,4.083292910215296
39,4.083292910215296
40,4.083292910215296
41,4.083292910215296
42,4.083292910215296
43,4.083292910215296
44,4.083292910215296
45,4.083292910215296
46,4.083292910215296
47,4.083292910215296
48,4.083292910215296
49,4.083292910215296
50,4.083292910215296
51,4.083292910215296
52,4.083292910215296
53,4.083292910215296
54,4.083292910215296
55,4.083292910215296
56,4.083292910215296
57,4.083292910215296
58,4.083292910215296
59,4.083292910215296
60,4.083292910215296
61,4.083292910215296
62,4.083292910215296
63,4.083292910215296
64,4.083292910215296
65,4.083292910215296
66,4.083292910215296
67,4.083292910215296
68,4.083292910215296
69,4.083292910215296
70,4.083292910215296
71,4.083292910215296
72,4.083292910215296
73,4.083292910215296
74,4.083292910215296
75,4.083292910215296
76,4.083292910215296
77,4.083292910215296
78,4.083292910215296
79,4.083292910215296
80,4.083292910215296
81,4.083292910215296
82,4.083292910215296
83,4.083292910215296
84,4.083292910215296
85,4.083292910215296
86,4.083292910215296
87,4.083292910215296
88,4.083292910215296
89,4.083292910215296
90,4.083292910215296
91,4.083292910215296
92,4.083292910215296
93,4.083292910215296
94,4.083292910215296
95,4.083292910215296
96,4.083292910215296
97,4.083292910215296
98,4.083292910215296
99,4.083292910215296
100,4.083292910215296
101,4.083292910215296
102,4.083292910215296
103,4.083292910215296
104,4.083292910215296
105,4.083292910215296
106,4.083292910215296
107,4.083292910215296
108,4.083292910215296
109,4.083292910215296
110,4.083292910215296
111,4.083292910215296
112,4.083292910215296
113,4.083292910215296
114,4.083292910215296
115,4.083292910215296
116,4.083292910215296
117,4.083292910215296
118,4.083292910215296
119,4.083292910215296
120,4.083292910215296
121,4.083292910215296
122,4.083292910215296
123,4.083292910215296
124,4.083292910215296
125,4.083292910215296
126,4.083292910215296
127,4.083292910215296
128,4.083292910215296
129,4.083292910215296
130,4.083292910215296
131,4.083292910215296
132,4.083292910215296
133,4.083292910215296
134,4.083292910215296
135,4.083292910215296
136,4.083292910215296
137,4.083292910215296
138,4.083292910215296
139,4.083292910215296
140,4.083292910215296
141,4.083292910215296
142,4.083292910215296
143,4.083292910215296
144,4.083292910215296
145,4.083292910215296
146,4.083292910215296
147,4.083292910215296
148,4.083292910215296
149,4.083292910215296
150,4.083292910215296
151,4.083292910215296
152,4.083292910215296
153,4.083292910215296
154,4.083292910215296
155,4.083292910215296
156,4.083292910215296
157,4.083292910215296
158,4.083292910215296
159,4.083292910215296
160,4.083292910215296
161,4.083292910215296
162,4.083292910215296
163,4.083292910215296
164,4.083292910215296
165,4.083292910215296
166,4.083292910215296
167,4.083292910215296
168,4.083292910215296
169,4.083292910215296
170,4.083292910215296
171,4.083292910215296
172,4.083292910215296
173,4.083292910215296
174,4.083292910215296
175,4.083292910215296
176,4.083292910215296
177,4.083292910215296
178,4.083292910215296
179,4.083292910215296
180,4.083292910215296
181,4.083292910215296
182,4.083292910215296
183,4.083292910215296
184,4.083292910215296
185,4.083292910215296
186,4.083292910215296
187,4.083292910215296
188,4.083292910215296
189,4.083292910215296
190,4.083292910215296
191,4.083292910215296
192,4.083292910215296
193,4.083292910215296
194,4.083292910215296
195,4.083292910215296
196,4.083292910215296
197,4.083292910215296
198,4.083292910215296
199,4.083292910215296
200,4.083292910215296
201,4.083292910215296
202,4.083292910215296
203,4.083292910215296
204,4.083292910215296
205,4.083292910215296
206,4.083292910215296
207,4.083292910215296
208,4.083292910215296
209,4.083292910215296
210,4.083292910215296
211,4.083292910215296
212,4.083292910215296
213,4.083292910215296
214,4.083292910215296
215,4.083292910215296
216,4.083292910215296
217,4.083292910215296
218,4.083292910215296
219,4.083292910215296
220,4.083292910215296
221,4.083292910215296
222,4.083292910215296
223,4.083292910215296
224,4.083292910215296
225,4.083292910215296
226,4.083292910215296
227,4.083292910215296
228,4.083292910215296
229,4.083292910215296
230,4.083292910215296
231,4.083292910215296
232,4.083292910215296
233,4.083292910215296
234,4.083292910215296
235,4.083292910215296
236,4.083292910215296
237,4.083292910215296
238,4.083292910215296
239,4.083292910215296
240,4.083292910215296
241,4.083292910215296
242,4.083292910215296
243,4.083292910215296
244,4.083292910215296
245,4.083292910215296
246,4.083292910215296
247,4.083292910215296
248,4.083292910215296
249,4.083292910215296
250,4.083292910215296
251,4.083292910215296
252,4.083292910215296
