iter,best_cost
0,6.5582823748024675
1,6.5582823748024675
2,6.5582823748024675
3,6.5582823748024675
4,6.294766851861836
5,6.294766851861836
6,6.294766851861836
7,6.294766851861836
8,6.294766851861836
9,6.294766851861836
10,6.294766851861836
11,6.294766851861836
12,6.294766851861836
13,6.294766851861836
14,6.294766851861836
15,6.294766851861836
16,6.294766851861836
17,6.294766851861836
18,6.294766851861836
19,6.294766851861836
20,6.294766851861836
21,6.294766851861836
22,6.294766851861836
23,6.294766851861836
24,6.294766851861836
25,6.294766851861836
26,6.143285605568833
27,6.143285605568833
28,6.138776336368562
29,6.138776336368562
30,6.138776336368562
31,6.138776336368562
32,6.138776336368562
33,6.044077470389368
34,6.044077470389368
35,5.785543892854356
36,5.785543892854356
37,5.785543892854356
38,5.785543892854356
39,5.6727493459207405
40,5.6727493459207405
41,5.6727493459207405
42,5.6727493459207405
43,5.6727493459207405
44,5.6727493459207405
45,5.6727493459207405
46,5.6727493459207405
47,5.6727493459207405
48,5.6727493459207405
49,5.6727493459207405
50,5.6727493459207405
51,5.6727493459207405
52,5.6727493459207405
53,5.6727493459207405
54,5.6727493459207405
55,5.6727493459207405
56,5.6727493459207405
57,5.6727493459207405
58,5.6727493459207405
59,5.6727493459207405
60,5.6727493459207405
61,5.6727493459207405
62,5.6727493459207405
63,5.6727493459207405
64,5.6727493459207405
65,5.6727493459207405
66,5.6727493459207405
67,5.6727493459207405
68,5.6727493459207405
69,5.6727493459207405
70,5.6727493459207405
71,5.6727493459207405
72,5.6727493459207405
73,5.6727493459207405
74,5.6727493459207405
75,5.548153348414505
76,5.548153348414505
77,5.548153348414505
78,5.548153348414505
79,5.548153348414505
80,5.548153348414505
81,5.548153348414505
82,5.548153348414505
83,5.548153348414505
84,5.548153348414505
85,5.548153348414505
86,5.548153348414505
87,5.548153348414505
88,5.548153348414505
89,5.548153348414505
90,5.548153348414505
91,5.548153348414505
92,5.548153348414505
93,5.548153348414505
94,5.548153348414505
95,5.548153348414505
96,5.548153348414505
97,5.548153348414505
98,5.548153348414505
99,5.548153348414505
100,5.548153348414505
101,5.548153348414505
102,5.548153348414505
103,5.548153348414505
104,5.548153348414505
105,5.548153348414505
106,5.548153348414505
107,5.548153348414505
108,5.548153348414505
109,5.548153348414505
110,5.548153348414505
111,5.548153348414505
112,5.548153348414505
113,5.548153348414505
114,5.548153348414505
115,5.548153348414505
116,5.548153348414505
117,5.548153348414505
